Arcanjo,M,Sim,
Arcelino,M,Sim,
Arcélio,,Sim,
Arcelis,,Não,
Arcidio,,Não,
Arcílio,M,Sim,
Arcindo,,Não,
Ardelisa,,Não,
Ardeliza,,Não,
Ardiles,,Não,
Ardingue,M,Sim,
Argemiro,,Sim,
Argentina,,Sim,
Argentino,,Sim,
Argo Demetrius,,Não,
Ari,,Sim,preferível como segundo elemento do nome
Ária,F,Sim,
Ariadna,,Sim,
Ariadne,,Sim,
Arian,,Não,
Ariana,F,Sim,
Ariane,F,Sim,despacho de 03-08-2007
Arianne,,Não,
Arícia,F,Não,
Aricina,,Não,
Ariel,M,Sim,
Ariele,F,Sim,
Arien,F,Não,
Aries,,Não,
Áries,,Não,
Arieta,,Não,
Arinda,,Sim,
Arine,M,Sim,
Ariosto,M,Sim,
Arisberto,M,Sim,
Aristides,M,Sim,
Aristóteles,M,Sim,
Arita,,Não,
Arjuna,,Não,
Arlanda,,Sim,
Arlete,,Sim,
Arlindo,M,Sim,
Arlino,,Não,
Armândia,,Não,
Armandina,,Sim,
Armandino,,Sim,
Armando,M,Sim,
Armelim,M,Sim,
Arménia,F,Sim,
Arménio,M,Sim,
Arminda,F,Sim,
Armor,,Não,
Arneles,,Não,
Arom,,Não,
Aron,M,Sim,
Árpia,,Não,
Arquimedes,,Sim,
Arquimínio,M,Sim,
Arquimino,,Sim,
Arsénio,M,Sim,
Artemisa,,Sim,
Artemísia,,Sim,
Artur,M,Sim,
Arturo,,Não,
Aruna,F,Sim,
Ary,M,Sim,
Ascenso,M,Sim,
Asélio,M,Sim,
Asenath,,Não,
Áser,,Sim,
Ashanti,,Não,
Ashley,,Não,
Ásia,F,Sim,
Asser,,Não,
Assis,M,Sim,revoga o despacho de 20-03-1983
Assise,,Não,
Assucena,,Não,
Assunção,,Sim,
Assunta,,Sim,
Astral,,Não,
Astrid,F,Sim,revoga o despacho de 15-10-1954
Astride,,Sim,
Ataíde,M,Sim,
Atanásio,M,Sim,
Atão,M,Sim,
Atena,,Não,
Atenais,F,Sim,
Ateneia,,Não,
Athena,,Não,
Átila,M,Sim,
Átina,F,Sim,
Atlante,,Não,
Atlântida,,Não,
Atneia,,Não,
Aton,,Não,
Atul,,Não,
Aubri,M,Sim,
Aucilia,,Não,
Audenim,,Não,
Audeta,,Não,
Audete,,Sim,
Audria,,Não,
Augustos,,Não,
Augustus,,Não,
Aulani,,Não,
Aura,,Sim,
Áurea,,Sim,
Aurélia,,Sim,
Aureliana,F,Sim,
Aurentina,,Não,
Áureo,M,Sim,
Aurete,F,Sim,
Aurétio,,Não,
Auretónio,,Não,
Auriana,F,Sim,
Aurinda,,Não,
Aurísio,,Não,
Aurízia,,Não,
Ausenda,,Sim,
Ausendo,M,Sim,
Austrelino,,Sim,
Auta,,Sim,
Auxília,,Sim,
Ava,F,Sim,
Avani,,Não,
Avantino,,Não,
Ave,,Não,
Avelar,,Não,
Avelino,M,Sim,
Aventino,,Sim,
Ávila,,Não,
Aviz,,Não,
Axel,,Sim,
Ayala,,Não,
Ayer,,Não,
Ayla,,Não,
Ayrton,,Não,
Azélio,M,Sim,
Aziz,M,Sim,
Azuil,M,Sim,
Babilónia,,Não,
Baguandas,,Sim,como segundo elemento do nome
Bajula,,Não,
Baki,,Não,
Baldemar,M,Sim,
Baldomero,M,Sim,
Balduíno,,Sim,
Balsemina,,Não,
Baltasar,M,Sim,
Baltazar,,Não,
Baptista,,Sim,"no conjunto ""JOÃO BAPTISTA"" ou como segundo elemento do nome"
Baqui,M,Sim,
Barac,M,Sim,
Barão,M,Sim,
Bárbara,F,Sim,
Bárbora,F,Sim,
Barbosa,,Não,
Barcino,,Sim,
Barriane,,Não,
Bartolina,,Sim,
Bartolomeu,M,Sim,
Bartolomeu Perestrelo,M,Sim,conjunto onomástico
Basília,F,Sim,
Basilisa,,Não,
Basilissa,,Sim,
Bassani,,Não,
Bassarme,M,Sim,como segundo elemento do nome
Bastião,M,Sim,
Batista,M,Sim,
Bauduino,,Não,
Beanina,,Sim,
Beatriz,F,Sim,
Beatriz da Conceição,F,Sim,conjunto onomástico
Beatriz de Lencastre,F,Sim,conjunto onomástico
Beatriz de São José,,Sim,conjunto onomástico
Beatriz do Carmo,F,Sim,conjunto onomástico
Bebiana,F,Sim,
Bebiano,M,Sim,
Begonha,,Sim,"como segundo elemento do nome, precedido da partícula ""de"""
Bela,F,Sim,
Beladora,,Não,
Belani,,Não,
Belânia,,Não,
Belanie,,Não,
Belchior,M,Sim,
Beldora,,Não,
Beleciano,,Não,
Belecissima,,Não,
Belém,F,Sim,
Belezinda,,Não,
Belina,,Sim,
Belinda,,Sim,
Belisa,,Sim,
Belisanda,,Não,
Belíssima,,Não,
Belma,,Não,
Belzinda,,Não,
Bendavid,M,Sim,revoga despacho anterior
Benedita,F,Sim,
Benevenuto,M,Sim,
Beneza,,Não,
Benfica,,Não,
Ben-Hur,,Não,
Benícia,,Sim,
Benício,M,Sim,
Benigna,F,Sim,
Benilde,F,Sim,
Benildo,,Não,
Benita,F,Sim,
Benjamim,M,Sim,
Benjamina,F,Sim,
Benoît,M,Não,
Bento,M,Sim,
Benuá,,Não,
Benur,,Não,
Benvinda,F,Sim,
Berangére,,Não,
Berardo,,Sim,
Berengária,,Sim,
Berilo,M,Sim,
Berlita,,Não,
Bernadete,,Sim,
Bernardete,,Sim,
Bernardim,M,Sim,
Bernardino,M,Sim,
Bernardo,M,Sim,
Bérnia,,Sim,
Bertelina,,Não,
Bertha,,Não,
Bértil,,Sim,como segundo elemento do nome
Bertila,,Sim,
Bertilde,,Sim,
Bertina,F,Sim,
Bertine,,Não,
Bertino,,Sim,
Berto,,Sim,
Bertolina,,Não,
Bertolino,M,Sim,
Bestasbé,,Não,
Betânia,,Sim,revoga despacho anterior
Betanio,,Não,
Betânio,,Não,
Beth,,Não,
Bétia,F,Sim,
Betina,,Sim,
Betino,M,Sim,
Beto,,Sim,
Betsabé,F,Sim,
Betsabeia,,Não,
Betsabeth,,Não,
Bhavika,,Não,
Bia,F,Sim,
Biana,F,Sim,
Bianca,,Sim,
Bianor,,Sim,
